SKU,qty,price
PW310,1,64.20
PW310,15,62.40
PW310,25,58.85
PW310,50,55.30
PW310,75,51.70
RS302,1,64.10
RS302,15,62.30
RS302,25,58.75
RS302,50,55.20
RS302,75,51.65
PW250,1,63.00
PW250,15,61.25
PW250,25,57.75
PW250,50,54.25
PW250,75,50.75
1646,1,62.05
1646,15,60.30
1646,25,56.85
1646,50,53.40
1646,75,50.00
SI076,1,61.85
SI076,15,60.15
SI076,25,56.70
SI076,50,53.25
SI076,75,49.85
R339X,1,61.65
R339X,15,59.95
R339X,25,56.55
R339X,50,53.10
R339X,75,49.70
RG358,1,55.3
RG358,15,53.75
RG358,25,50.7
RG358,50,47.65
RG358,75,44.55
SN110,1,55.3
SN110,15,53.75
SN110,25,50.7
SN110,50,47.65
SN110,75,44.55
RG095,1,55.1
RG095,15,53.55
RG095,25,50.5
RG095,50,47.45
RG095,75,44.4
RE71A,1,60.70
RE71A,15,59.00
RE71A,25,55.65
RE71A,50,52.25
RE71A,75,48.90
OG001,1,59.85
OG001,15,58.20
OG001,25,54.90
OG001,50,51.55
OG001,75,48.25
GM022,1,59.85
GM022,15,58.20
GM022,25,54.90
GM022,50,51.55
GM022,75,48.25
ST170,1,59.85
ST170,15,58.20
ST170,25,54.90
ST170,50,51.55
ST170,75,48.25
ST171,1,59.85
ST171,15,58.20
ST171,25,54.90
ST171,50,51.55
ST171,75,48.25
ST181,1,59.85
ST181,15,58.20
ST181,25,54.90
ST181,50,51.55
ST181,75,48.25
PW324,1,59.40
PW324,15,57.75
PW324,25,54.45
PW324,50,51.15
PW324,75,47.85
R326X,1,59.35
R326X,15,57.70
R326X,25,54.40
R326X,50,51.10
R326X,75,47.80
QD650,1,58.90
QD650,15,57.25
QD650,25,54.00
QD650,50,50.70
QD650,75,47.45
QD880,1,58.90
QD880,15,57.25
QD880,25,54.00
QD880,50,50.70
QD880,75,47.45
KB693,1,58.70
KB693,15,57.05
KB693,25,53.80
KB693,50,50.55
KB693,75,47.30
RS305,1,58.25
RS305,15,56.65
RS305,25,53.40
RS305,50,50.15
RS305,75,46.95
2898,1,58.20
2898,15,56.60
2898,25,53.35
2898,50,50.15
2898,75,46.90
2899,1,58.20
2899,15,56.60
2899,25,53.35
2899,50,50.15
2899,75,46.90
2916,1,58.20
2916,15,56.60
2916,25,53.35
2916,50,50.15
2916,75,46.90
2937,1,58.20
2937,15,56.60
2937,25,53.35
2937,50,50.15
2937,75,46.90
GM025,1,57.55
GM025,15,55.95
GM025,25,52.75
GM025,50,49.55
GM025,75,46.35
BG023,1,57.35
BG023,15,55.75
BG023,25,52.60
BG023,50,49.40
BG023,75,46.20
R406X,1,57.00
R406X,15,55.40
R406X,25,52.25
R406X,50,49.10
R406X,75,45.90
1645,1,56.75
1645,15,55.20
1645,25,52.05
1645,50,48.90
1645,75,45.75
J015M,1,56.65
J015M,15,55.05
J015M,25,51.90
J015M,50,48.75
J015M,75,45.65
QX625,1,56.55
QX625,15,54.95
QX625,25,51.85
QX625,50,48.70
QX625,75,45.55
RG030,1,50.9
RG030,15,49.5
RG030,25,46.7
RG030,50,43.85
RG030,75,41
RG158,1,50.9
RG158,15,49.5
RG158,25,46.7
RG158,50,43.85
RG158,75,41
RG608,1,50.9
RG608,15,49.5
RG608,25,46.7
RG608,50,43.85
RG608,75,41
PW304,1,54.75
PW304,15,53.20
PW304,25,50.20
PW304,50,47.15
PW304,75,44.10
R348X,1,54.55
R348X,15,53.05
R348X,25,50.00
R348X,50,47.00
R348X,75,43.95
R349F,1,54.55
R349F,15,53.05
R349F,25,50.00
R349F,50,47.00
R349F,75,43.95
R117A,1,54.55
R117A,15,53.05
R117A,25,50.00
R117A,50,47.00
R117A,75,43.95
R194F,1,54.55
R194F,15,53.05
R194F,25,50.00
R194F,50,47.00
R194F,75,43.95
R194M,1,54.55
R194M,15,53.05
R194M,25,50.00
R194M,50,47.00
R194M,75,43.95
RS118,1,54.55
RS118,15,53.05
RS118,25,50.00
RS118,50,47.00
RS118,75,43.95
QD905,1,53.65
QD905,15,52.15
QD905,25,49.20
QD905,50,46.20
QD905,75,43.25
PW009,1,53.40
PW009,15,51.90
PW009,25,48.95
PW009,50,46.00
PW009,75,43.00
J014M,1,53.10
J014M,15,51.65
J014M,25,48.70
J014M,50,45.75
J014M,75,42.80
YK050,1,52.75
YK050,15,51.30
YK050,25,48.35
YK050,50,45.45
YK050,75,42.50
ST174,1,52.75
ST174,15,51.30
ST174,25,48.35
ST174,50,45.45
ST174,75,42.50
SP105,1,52.60
SP105,15,51.10
SP105,25,48.20
SP105,50,45.30
SP105,75,42.35
R124A,1,52.20
R124A,15,50.75
R124A,25,47.85
R124A,50,44.95
R124A,75,42.05
RS301,1,52.20
RS301,15,50.75
RS301,25,47.85
RS301,50,44.95
RS301,75,42.05
TRA471,1,46.8
TRA471,15,45.45
TRA471,25,42.9
TRA471,50,40.3
TRA471,75,37.7
R215X,1,51.15
R215X,15,49.70
R215X,25,46.90
R215X,50,44.05
R215X,75,41.20
SX074,1,51.05
SX074,15,49.65
SX074,25,46.80
SX074,50,43.95
SX074,75,41.15
QX560,1,50.60
QX560,15,49.20
QX560,25,46.40
QX560,50,43.60
QX560,75,40.75
YK047,1,50.35
YK047,15,48.95
YK047,25,46.15
YK047,50,43.35
YK047,75,40.55
YK048,1,50.35
YK048,15,48.95
YK048,25,46.15
YK048,50,43.35
YK048,75,40.55
R303X,1,49.80
R303X,15,48.40
R303X,25,45.65
R303X,50,42.90
R303X,75,40.10
J040F,1,49.45
J040F,15,48.05
J040F,25,45.30
J040F,50,42.55
J040F,75,39.85
J040M,1,49.45
J040M,15,48.05
J040M,25,45.30
J040M,50,42.55
J040M,75,39.85
01617,1,48.95
01617,15,47.60
01617,25,44.85
01617,50,42.15
01617,75,39.45
YK026,1,47.90
YK026,15,46.55
YK026,25,43.90
YK026,50,41.25
YK026,75,38.60
YK028,1,47.90
YK028,15,46.55
YK028,25,43.90
YK028,50,41.25
YK028,75,38.60
KB677,1,47.90
KB677,15,46.55
KB677,25,43.90
KB677,50,41.25
KB677,75,38.60
2889,1,47.70
2889,15,46.40
2889,25,43.75
2889,50,41.10
2889,75,38.45
2890,1,47.70
2890,15,46.40
2890,25,43.75
2890,50,41.10
2890,75,38.45
PW163,1,47.55
PW163,15,46.20
PW163,25,43.60
PW163,50,40.95
PW163,75,38.30
RE18A,1,47.45
RE18A,15,46.15
RE18A,25,43.50
RE18A,50,40.85
RE18A,75,38.25
HB730,1,47.45
HB730,15,46.15
HB730,25,43.50
HB730,50,40.85
HB730,75,38.25
HB735,1,47.45
HB735,15,46.15
HB735,25,43.50
HB735,50,40.85
HB735,75,38.25
R120A,1,47.45
R120A,15,46.15
R120A,25,43.50
R120A,50,40.85
R120A,75,38.25
R181M,1,47.45
R181M,15,46.15
R181M,25,43.50
R181M,50,40.85
R181M,75,38.25
R222X,1,47.45
R222X,15,46.15
R222X,25,43.50
R222X,50,40.85
R222X,75,38.25
YK045 PLUS,1,47.35
YK045 PLUS,15,46.05
YK045 PLUS,25,43.40
YK045 PLUS,50,40.80
YK045 PLUS,75,38.15
TRA840,1,42.5
TRA840,15,41.3
TRA840,25,38.95
TRA840,50,36.6
TRA840,75,34.2
TRF525,1,42.5
TRF525,15,41.3
TRF525,25,38.95
TRF525,50,36.6
TRF525,75,34.2
RG058,1,42.5
RG058,15,41.3
RG058,25,38.95
RG058,50,36.6
RG058,75,34.2
RG059,1,42.5
RG059,15,41.3
RG059,25,38.95
RG059,50,36.6
RG059,75,34.2
RG189,1,42.5
RG189,15,41.3
RG189,25,38.95
RG189,50,36.6
RG189,75,34.2
01170,1,47.15
01170,15,45.85
01170,25,43.20
01170,50,40.60
01170,75,38.00
01193,1,47.15
01193,15,45.85
01193,25,43.20
01193,50,40.60
01193,75,38.00
QD653,1,47.10
QD653,15,45.80
QD653,25,43.15
QD653,50,40.55
QD653,75,37.95
QD915,1,47.10
QD915,15,45.80
QD915,25,43.15
QD915,50,40.55
QD915,75,37.95
QD968,1,47.10
QD968,15,45.80
QD968,25,43.15
QD968,50,40.55
QD968,75,37.95
QX325,1,47.10
QX325,15,45.80
QX325,25,43.15
QX325,50,40.55
QX325,75,37.95
QX520,1,47.10
QX520,15,45.80
QX520,25,43.15
QX520,50,40.55
QX520,75,37.95
TRA472,1,42.4
TRA472,15,41.25
TRA472,25,38.85
TRA472,50,36.5
TRA472,75,34.2
TRA600,1,42.4
TRA600,15,41.25
TRA600,25,38.85
TRA600,50,36.5
TRA600,75,34.2
TS016,1,47.10
TS016,15,45.80
TS016,25,43.15
TS016,50,40.55
TS016,75,37.95
J956M,1,46.80
J956M,15,45.50
J956M,25,42.90
J956M,50,40.30
J956M,75,37.70
J958M,1,46.80
J958M,15,45.50
J958M,25,42.90
J958M,50,40.30
J958M,75,37.70
PW963,1,46.35
PW963,15,45.10
PW963,25,42.50
PW963,50,39.95
PW963,75,37.35
PR625,1,39.4
PR625,15,38.35
PR625,25,36.15
PR625,50,34
PR625,75,31.75
01616,1,46.05
01616,15,44.80
01616,25,42.25
01616,50,39.65
01616,75,37.10
J041F,1,46.00
J041F,15,44.75
J041F,25,42.20
J041F,50,39.65
J041F,75,37.05
J041M,1,46.00
J041M,15,44.75
J041M,25,42.20
J041M,50,39.65
J041M,75,37.05
QD525,1,45.90
QD525,15,44.65
QD525,25,42.10
QD525,50,39.55
QD525,75,37.00
AD036,1,45.55
AD036,15,44.30
AD036,25,41.75
AD036,50,39.25
AD036,75,36.70
GM085,1,45.55
GM085,15,44.30
GM085,25,41.75
GM085,50,39.25
GM085,75,36.70
J956F,1,45.55
J956F,15,44.30
J956F,25,41.75
J956F,50,39.25
J956F,75,36.70
YK043 PLUS,1,45.55
YK043 PLUS,15,44.30
YK043 PLUS,25,41.75
YK043 PLUS,50,39.25
YK043 PLUS,75,36.70
46602,1,45.55
46602,15,44.30
46602,25,41.75
46602,50,39.25
46602,75,36.70
46802,1,45.55
46802,15,44.30
46802,25,41.75
46802,50,39.25
46802,75,36.70
BG025,1,45.40
BG025,15,44.10
BG025,25,41.60
BG025,50,39.10
BG025,75,36.55
PW300,1,45.20
PW300,15,43.95
PW300,25,41.45
PW300,50,38.95
PW300,75,36.40
R456X,1,45.10
R456X,15,43.85
R456X,25,41.35
R456X,50,38.85
R456X,75,36.35
R324X,1,45.10
R324X,15,43.85
R324X,25,41.35
R324X,50,38.85
R324X,75,36.35
RS300,1,45.10
RS300,15,43.85
RS300,25,41.35
RS300,50,38.85
RS300,75,36.35
RS314,1,45.10
RS314,15,43.85
RS314,25,41.35
RS314,50,38.85
RS314,75,36.35
CW031,1,44.95
CW031,15,43.70
CW031,25,41.20
CW031,50,38.70
CW031,75,36.20
BR121,1,44.90
BR121,15,43.65
BR121,25,41.20
BR121,50,38.70
BR121,75,36.20
43500,1,44.75
43500,15,43.55
43500,25,41.05
43500,50,38.55
43500,75,36.05
QD655,1,44.75
QD655,15,43.50
QD655,25,41.05
QD655,50,38.55
QD655,75,36.05
QD878,1,44.75
QD878,15,43.50
QD878,25,41.05
QD878,50,38.55
QD878,75,36.05
QX550,1,44.75
QX550,15,43.50
QX550,25,41.05
QX550,50,38.55
QX550,75,36.05
RG016,1,40.3
RG016,15,39.15
RG016,25,36.95
RG016,50,34.7
RG016,75,32.45
PW301,1,44.55
PW301,15,43.35
PW301,25,40.85
PW301,50,38.40
PW301,75,35.90
YK046,1,44.40
YK046,15,43.15
YK046,25,40.70
YK046,50,38.25
YK046,75,35.75
RS109,1,44.05
RS109,15,42.80
RS109,25,40.35
RS109,50,37.90
RS109,75,35.50
J957M,1,43.95
J957M,15,42.70
J957M,25,40.30
J957M,50,37.85
J957M,75,35.40
J959M,1,43.65
J959M,15,42.45
J959M,25,40.05
J959M,50,37.60
J959M,75,35.20
BR120,1,43.60
BR120,15,42.40
BR120,25,39.95
BR120,50,37.55
BR120,75,35.15
BR122,1,43.60
BR122,15,42.40
BR122,25,39.95
BR122,50,37.55
BR122,75,35.15
GM027,1,43.15
GM027,15,41.95
GM027,25,39.55
GM027,50,37.15
GM027,75,34.75
YK045,1,43.15
YK045,15,41.95
YK045,25,39.55
YK045,50,37.15
YK045,75,34.75
KB443,1,43.15
KB443,15,41.95
KB443,25,39.55
KB443,50,37.15
KB443,75,34.75
ST166,1,43.05
ST166,15,41.85
ST166,25,39.45
ST166,50,37.05
ST166,75,34.70
R310X,1,42.70
R310X,15,41.50
R310X,25,39.15
R310X,50,36.75
R310X,75,34.40
J957F,1,42.50
J957F,15,41.30
J957F,25,38.95
J957F,50,36.60
J957F,75,34.25
RG074,1,38.25
RG074,15,37.2
RG074,25,35.1
RG074,50,32.95
RG074,75,30.85
RG194,1,38.25
RG194,15,37.2
RG194,25,35.1
RG194,50,32.95
RG194,75,30.85
RG194 PLUS,1,38.25
RG194 PLUS,15,37.2
RG194 PLUS,25,35.1
RG194 PLUS,50,32.95
RG194 PLUS,75,30.85
RG195,1,38.25
RG195,15,37.2
RG195,25,35.1
RG195,50,32.95
RG195,75,30.85
QD269,1,42.40
QD269,15,41.25
QD269,25,38.90
QD269,50,36.55
QD269,75,34.15
QD995,1,42.40
QD995,15,41.25
QD995,25,38.90
QD995,50,36.55
QD995,75,34.15
QX310,1,42.40
QX310,15,41.25
QX310,25,38.90
QX310,50,36.55
QX310,75,34.15
YK042,1,41.95
YK042,15,40.80
YK042,25,38.45
YK042,50,36.15
YK042,75,33.80
YK043,1,41.95
YK043,15,40.80
YK043,25,38.45
YK043,50,36.15
YK043,75,33.80
ST177,1,41.95
ST177,15,40.80
ST177,25,38.45
ST177,50,36.15
ST177,75,33.80
QD268,1,41.85
QD268,15,40.70
QD268,25,38.40
QD268,50,36.05
QD268,75,33.75
R160A,1,41.60
R160A,15,40.45
R160A,25,38.15
R160A,50,35.85
R160A,75,33.50
R207X,1,41.60
R207X,15,40.45
R207X,25,38.15
R207X,50,35.85
R207X,75,33.50
QD550,1,41.25
QD550,15,40.10
QD550,25,37.80
QD550,50,35.50
QD550,75,33.25
YK073,1,41.25
YK073,15,40.10
YK073,25,37.80
YK073,50,35.50
YK073,75,33.25
PW337,1,41.05
PW337,15,39.90
PW337,25,37.65
PW337,50,35.35
PW337,75,33.10
59000 PLUS,1,41.05
59000 PLUS,15,39.90
59000 PLUS,25,37.60
59000 PLUS,50,35.35
59000 PLUS,75,33.05
71000,1,40.75
71000,15,39.60
71000,25,37.35
71000,50,35.10
71000,75,32.80
KB615,1,40.60
KB615,15,39.50
KB615,25,37.25
KB615,50,35.00
KB615,75,32.70
R346X,1,40.45
R346X,15,39.30
R346X,25,37.05
R346X,50,34.80
R346X,75,32.60
PW022,1,40.35
PW022,15,39.20
PW022,25,37.00
PW022,50,34.75
PW022,75,32.50
PW251,1,40.35
PW251,15,39.20
PW251,25,37.00
PW251,50,34.75
PW251,75,32.50
R121A,1,40.35
R121A,15,39.20
R121A,25,37.00
R121A,50,34.75
R121A,75,32.50
R306X,1,40.35
R306X,15,39.20
R306X,25,37.00
R306X,50,34.75
R306X,75,32.50
RE88A,1,40.35
RE88A,15,39.20
RE88A,25,37.00
RE88A,50,34.75
RE88A,75,32.50
J001M,1,40.15
J001M,15,39.05
J001M,25,36.80
J001M,50,34.60
J001M,75,32.35
SX012,1,40.15
SX012,15,39.05
SX012,25,36.80
SX012,50,34.60
SX012,75,32.35
RG125,1,36.15
RG125,15,35.15
RG125,25,33.15
RG125,50,31.15
RG125,75,29.15
QD990,1,40.00
QD990,15,38.85
QD990,25,36.65
QD990,50,34.45
QD990,75,32.20
QS288,1,40.00
QS288,15,38.85
QS288,25,36.65
QS288,50,34.45
QS288,75,32.20
J875B,1,40.00
J875B,15,38.85
J875B,25,36.65
J875B,50,34.45
J875B,75,32.20
RG142,1,36
RG142,15,35
RG142,25,33
RG142,50,31.05
RG142,75,29
RG150,1,36
RG150,15,35
RG150,25,33
RG150,50,31.05
RG150,75,29
RG150 PLUS,1,36
RG150 PLUS,15,35
RG150 PLUS,25,33
RG150 PLUS,50,31.05
RG150 PLUS,75,29
RG151,1,36
RG151,15,35
RG151,25,33
RG151,50,31.05
RG151,75,29
RG151 PLUS,1,36
RG151 PLUS,15,35
RG151 PLUS,25,33
RG151 PLUS,50,31.05
RG151 PLUS,75,29
SX042,1,39.55
SX042,15,38.45
SX042,25,36.25
SX042,50,34.05
SX042,75,31.85
PW331,1,39.25
PW331,15,38.15
PW331,25,36.00
PW331,50,33.80
PW331,75,31.65
PW252,1,39.25
PW252,15,38.15
PW252,25,36.00
PW252,50,33.80
PW252,75,31.65
R333X,1,39.15
R333X,15,38.10
R333X,25,35.90
R333X,50,33.75
R333X,75,31.55
PR999,1,39.00
SX029,1,38.70
SX029,15,37.65
SX029,25,35.50
SX029,50,33.35
SX029,75,31.20
SX030,1,38.70
SX030,15,37.65
SX030,25,35.50
SX030,50,33.35
SX030,75,31.20
KB484,1,38.25
KB484,15,37.20
KB484,25,35.10
KB484,50,32.95
KB484,75,30.85
SX011,1,38.25
SX011,15,37.20
SX011,25,35.10
SX011,50,32.95
SX011,75,30.85
SI074,1,38.10
SI074,15,37.05
SI074,25,34.90
SI074,50,32.80
SI074,75,30.70
PW160,1,38.10
PW160,15,37.05
PW160,25,34.90
PW160,50,32.80
PW160,75,30.70
PW001,1,37.90
PW001,15,36.85
PW001,25,34.75
PW001,50,32.65
PW001,75,30.55
PW342,1,37.90
PW342,15,36.85
PW342,25,34.75
PW342,50,32.65
PW342,75,30.55
RG233,1,34.05
RG233,15,33.1
RG233,25,31.2
RG233,50,29.3
RG233,75,27.45
QD875,1,37.65
QD875,15,36.60
QD875,25,34.50
QD875,50,32.40
QD875,75,30.35
QD892,1,37.65
QD892,15,36.60
QD892,25,34.50
QD892,50,32.40
QD892,75,30.35
QS088,1,37.65
QS088,15,36.60
QS088,25,34.50
QS088,50,32.40
QS088,75,30.35
RG045 PLUS,1,33.9
RG045 PLUS,15,32.95
